parent_cycle_start,entry_area,path_prefix,indirect_count,direct_count,direct_bytes
441,435,/data/cycle,0,3,36
439,437,/data/delegates,1,1,41
442,437,/data/rolls,0,12846,75652
441,439,/data/cycle,0,6,72
440,438,/data/votes,18,0,0
441,433,/data/rolls,0,2563,15155
430,428,/data/v1,0,2,21
445,444,/data/rolls,0,14009,82870
437,433,/data/contracts,929,65385,1578687
444,435,/data/rolls,0,2222,13100
431,428,/data/active_delegates_with_rolls,62,0,0
434,428,/data/commitments,0,4619,189379
445,443,/data/votes,24,0,0
436,432,/data/cycle,0,3,36
443,437,/data/delegates,1,1,41
444,431,/data/active_delegates_with_rolls,3,0,0
443,428,multiple,139,0,0
443,432,/data/commitments,0,6,246
443,435,/data/contracts,585,64266,1547524
441,436,/data/delegates_with_frozen_balance,102,0,0
434,432,/data/delegates,0,2,82
444,440,/data/delegates,1,3,123
437,430,/data/contracts,690,50245,1200950
433,430,/data/contracts,944,69649,1707303
436,430,/data/active_delegates_with_rolls,13,1,41
432,431,/data/big_maps,351369,1969382,117579596
442,434,/data/commitments,0,15,615
438,432,/data/contracts,799,55101,1334357
431,430,/data/commitments,0,9,369
441,432,/data/commitments,0,6,246
430,428,/data/cycle,0,55,421
438,428,/data/contracts,48489,7139079,113696111
434,428,/data/v1,0,2,21
439,435,/data/contracts,766,81323,1996506
437,435,/data/votes,59,0,0
445,428,/data/rolls,0,235426,1736963
443,435,/data/commitments,0,12,492
434,430,/data/delegates,0,4,164
442,441,/data/contracts,7820,882155,20669932
444,437,/data/commitments,0,6,246
445,432,/data/delegates,0,2,82
433,428,/data/cache,0,2,8
443,442,/data/cycle,0,152,1194
445,444,/data,1,17,231
442,436,/data/contracts,834,85267,2047171
437,436,/data/votes,39,8,164
432,428,multiple,199,0,0
444,443,/data,1,17,231
432,428,/data/cycle,0,48,346
432,428,/data/v1,0,2,21
438,431,/data/delegates,1,7,287
433,431,/data/delegates,1,7,287
445,428,/data/big_maps,3525439,6214106,219571274
432,429,/data/rolls,0,12183,71541
440,431,/data/delegates,1,7,287
441,435,/data/contracts,636,70436,1717929
437,434,/data/cycle,0,4,39
445,440,/data/cycle,0,3,36
440,438,/data/contracts,1732,140559,3520067
445,433,/data/contracts,657,39212,897685
442,428,/data/delegates,353,2118,86838
442,435,/data/delegates,7,28,1148
436,430,/data/big_maps,120645,412337,21246448
440,428,/data/contracts,48190,7077764,111691125
440,430,/data/rolls,0,2770,16411
438,436,/data/cycle,0,6,72
434,430,/data/big_maps,131846,562902,30834893
442,431,/data/delegates,1,7,287
437,436,/data/contracts,7133,865571,20198485
444,443,/data/delegates,6,12,492
443,429,/data/commitments,0,42,1722
443,440,/data/commitments,0,23,943
439,433,/data/contracts,795,53887,1285525
442,441,/data/delegates,5,24,984
444,434,/data/rolls,0,3443,20353
442,430,/data/delegates,0,4,164
433,429,/data/rolls,0,8861,52190
445,443,/data/delegates_with_frozen_balance,175,8,328
441,439,/data/active_delegates_with_rolls,68,7,287
440,434,/data/commitments,0,15,615
435,431,/data/delegates_with_frozen_balance,117,1,41
443,436,/data/commitments,0,19,779
431,428,/data/v1,0,2,21
443,437,/data/big_maps,126713,543643,29936941
442,430,/data/contracts,581,41046,941954
440,432,/data/rolls,0,9350,55150
439,429,/data/rolls,0,8707,51239
441,432,/data/delegates,0,2,82
444,441,/data/rolls,0,5421,31971
432,429,/data/delegates_with_frozen_balance,100,0,0
430,429,/data/active_delegates_with_rolls,42,1,41
445,432,/data/big_maps,207099,352972,12285943
436,430,/data/delegates,0,4,164
441,440,/data/delegates,4,3,123
430,429,/,3,2,62
436,433,/data/contracts,1067,75113,1824514
445,434,/data/cycle,0,1,3
432,430,/data/commitments,0,9,369
444,431,/data/rolls,0,4086,24214
440,436,/data/contracts,955,99322,2407554
438,437,/data/delegates_with_frozen_balance,189,9,147
443,442,/data/rolls,0,26794,157787
444,428,/data/contracts,47499,6977468,108392007
443,435,/data/delegates,7,28,1148
442,440,/data/contracts,1665,121814,3016109
438,428,/data/votes,7,0,0
441,434,/data/contracts,621,56170,1348727
438,428,/data/cache,0,2,8
438,434,/data/big_maps,166706,771253,42787247
440,428,/data/delegates_with_frozen_balance,100,0,0
439,437,/data/rolls,0,13863,81642
435,434,/data/votes,52,8,164
442,433,/data/contracts,704,45628,1063165
444,435,/data/contracts,559,59243,1422261
445,428,/data/cache,0,2,8
439,429,/data/commitments,0,42,1722
442,440,/data/active_delegates_with_rolls,87,6,246
437,436,/data/delegates,4,14,574
442,433,/data/rolls,0,2505,14812
439,434,/data/rolls,0,4236,25040
439,429,/data/big_maps,140859,337968,14861609
445,429,/data/delegates,1,4,164
444,440,/data/commitments,0,23,943
443,433,/data/commitments,0,14,574
445,442,/data/commitments,0,7,287
432,428,/data/votes,374,0,0
443,437,/data/rolls,0,12675,74645
439,429,/data/contracts,933,67768,1606844
442,428,/data/delegates_with_frozen_balance,102,0,0
435,431,/data/rolls,0,4921,29150
443,431,/data/big_maps,123234,291737,12929121
442,433,/data/delegates,0,1,41
437,429,/data/delegates,1,4,164
437,436,/data/big_maps,411732,2570313,154694436
431,430,/data/delegates_with_frozen_balance,200,7,65
445,429,/data/rolls,0,643,3906
444,440,/data/contracts,1164,88520,2152374
440,439,/data/contracts,7315,849003,19868331
436,429,/data/big_maps,151212,437030,21096587
443,440,/data/rolls,0,3748,22090
437,435,/data/commitments,0,15,615
445,444,/,3,2,62
440,437,/data/big_maps,151442,849175,49321844
432,431,/data/delegates_with_frozen_balance,181,7,65
434,429,/data/contracts,1079,88255,2163056
438,428,/data/sapling,115,419,2618
433,429,/data/contracts,1162,94731,2333254
439,428,/data/big_maps,3598128,7118935,275647541
440,438,/data/cycle,0,6,72
439,436,/data/big_maps,222344,1174642,66709927
439,438,/data/delegates,4,10,410
438,431,/data/contracts,856,58417,1407249
438,433,/data/big_maps,252349,718010,35457248
431,430,/data/rolls,0,5525,32598
438,428,/data/delegates_with_frozen_balance,111,0,0
433,428,multiple,147,0,0
442,431,/data/big_maps,124477,305317,13786459
440,428,/data/commitments,0,4498,184418
434,432,/data/contracts,1353,93014,2303512
443,440,/data/big_maps,218459,1227821,70437260
439,436,/data/delegates_with_frozen_balance,102,0,0
433,431,/data/big_maps,196873,1093005,63602675
431,428,/data/rolls,0,274752,1965285
430,428,/data/big_maps,3867151,10857981,511912143
441,437,/data/commitments,0,6,246
438,428,/data/commitments,0,4549,186509
437,431,/data/commitments,0,32,1312
431,428,/data/contracts,50133,7431390,122585861
443,442,/data/delegates,3,13,533
445,439,/data/big_maps,211296,650120,33884837
441,437,/data/delegates_with_frozen_balance,156,3,123
439,431,/data/cycle,0,1,3
433,432,/data/votes,359,14,442
441,440,/data/big_maps,391060,2840328,171947979
442,432,/data/rolls,0,9153,53987
438,433,/data/delegates_with_frozen_balance,151,0,0
436,432,/data/delegates_with_frozen_balance,113,1,41
432,431,/data/delegates,4,7,287
436,435,/data/votes,80,8,164
429,428,/data/contracts,57266,8294663,143072234
445,444,/data/delegates_with_frozen_balance,285,16,434
434,428,/data/rolls,0,274381,1962516
430,428,/data/votes,374,0,0
444,432,/data/contracts,621,39962,924933
432,430,/data/delegates,0,4,164
444,429,/data/big_maps,131341,267863,10632221
438,429,/data/delegates,1,4,164
445,442,/data/votes,352,17,697
445,441,/data/cycle,0,6,72
435,428,/data/votes,7,0,0
442,428,/data/sapling,115,419,2618
438,436,/data/delegates,1,14,574
436,428,multiple,192,0,0
440,428,multiple,173,0,0
437,428,/data/cycle,0,31,161
433,431,/data/cycle,0,4,39
440,428,/data/cache,0,2,8
440,431,/data/rolls,0,4718,27942
435,432,/data/commitments,0,11,451
445,438,/data/commitments,0,43,1763
442,432,/data/contracts,657,44413,1042139
435,428,/data/active_delegates_with_rolls,7,0,0
436,432,/data/contracts,937,65529,1597111
445,440,/data/contracts,1023,82577,1994970
437,434,/data/delegates_with_frozen_balance,120,0,0
439,431,/data/contracts,812,54541,1301290
435,429,/data/big_maps,155666,488721,24375901
439,435,/data/cycle,0,6,72
434,432,/data/delegates_with_frozen_balance,113,1,41
442,429,/data/big_maps,133220,286851,11811898
434,433,/data/votes,20,8,164
432,430,/data/delegates_with_frozen_balance,119,1,41
436,432,/data/active_delegates_with_rolls,21,4,164
435,433,/data/big_maps,308960,1452484,82378676
442,441,/data/big_maps,414197,2668315,160329300
443,433,/data/contracts,689,44084,1023008
439,435,/data/commitments,0,15,615
438,434,/data/delegates_with_frozen_balance,120,0,0
445,443,/data/contracts,1926,159303,3908852
444,429,/data/rolls,0,2375,14075
443,434,/data/commitments,0,15,615
435,428,/data/rolls,0,271819,1947388
441,429,/data/commitments,0,42,1722
436,431,/data/contracts,950,67054,1628781
429,428,multiple,296,0,0
443,438,/data/big_maps,199061,740007,39877834
439,428,/data/contracts,48324,7105506,112595379
433,430,/data/delegates_with_frozen_balance,119,1,41
441,438,/data/commitments,0,43,1763
444,433,/data/contracts,671,40391,929678
440,439,/data/delegates,3,6,246
443,434,/data/contracts,561,50945,1210802
443,441,/data/active_delegates_with_rolls,12,2,82
437,434,/data/big_maps,179820,922016,52352837
439,435,/data/rolls,0,3425,20226
442,428,/data/commitments,0,4454,182614
445,428,/data/delegates,350,2098,86018
445,443,/data/rolls,0,12233,71858
444,430,/data/contracts,521,35809,815480
443,428,/data/big_maps,3548040,6456813,234534189
438,432,/data/big_maps,224482,529519,23403655
444,441,/data/active_delegates_with_rolls,12,2,82
442,440,/data/big_maps,244868,1628558,96000944
436,428,/data/votes,7,0,0
440,437,/data/rolls,0,12932,76167
440,436,/data/commitments,0,19,779
439,434,/data/cycle,0,4,39
432,428,/data/big_maps,3758394,9509945,426628207
437,434,/data/active_delegates_with_rolls,12,1,41
438,433,/data/commitments,0,14,574
441,431,/data/rolls,0,4687,27758
440,439,/data/cycle,0,151,1191
444,436,/data/contracts,775,75808,1791630
442,433,/data/commitments,0,14,574
