parent_cycle_start,entry_area,path,kind,node_length,contents_size,count,bytes,indirect_count,direct_count,direct_bytes
437,432,/data/delegates_with_frozen_balance/*/*,"Inode_root_tree","Nl_257_2048","Na",1,360,0,0,0
437,434,/data/contracts/*/*/*/*,"Contents","Na","Cs_512_plus",79,183354,0,0,0
437,434,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_512_plus",50,51702,0,0,0
433,431,/data/contracts/*/*/*/*,"Contents","Na","Cs_0_31",5,236,0,0,0
433,431,/data/contracts/*/*/*/*/*,"Contents","Na","Cs_0_31",665,25488,0,0,0
433,431,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_0_31",25132,1305766,0,0,0
443,429,/data/rolls/*/*/*/*,"Inode_nonroot_values","Multiple","Na",627,48897,0,1770,10393
429,428,/protocol,"Contents","Na","Cs_32_127",1,66,0,0,0
432,430,/data/contracts/*/*/*,"Inode_nonroot_tree","Nl_2049_16384","Na",46,15847,0,0,0
432,430,/data/big_maps/*/*/*,"Inode_root_tree","Nl_257_2048","Na",44,15840,0,0,0
437,430,/data/contracts/*/*/*,"Inode_root_values","Nl_0_32","Na",738,51809,0,1514,11612
442,431,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_33_256","Na",19,7017,0,117,5265
441,440,/data/big_maps/*/*/*,"Contents","Na","Cs_512_plus",6,4584,0,0,0
439,430,/data/big_maps/*/*,"Inode_root_values","Nl_0_32","Na",1085,86734,4334,0,0
438,432,/data/delegates/*,"Inode_nonroot_values","Nl_2049_16384","Na",1,136,0,2,82
432,430,/data/contracts/*/*/*/*,"Inode_root_values","Nl_0_32","Na",289,23669,0,803,6038
432,430,/data/big_maps/*/*/*/*,"Inode_root_values","Nl_0_32","Na",99038,5843242,99038,99038,396152
443,428,/data/rolls/*/*/*/*,"Inode_nonroot_tree","Multiple","Na",53,17537,0,0,0
445,428,/data/delegates/*,"Inode_root_tree","Nl_33_256","Na",1,279,0,0,0
441,430,/data/big_maps/*/*/*/*,"Inode_root_values","Nl_0_32","Na",86286,5090874,86286,86286,345144
445,436,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_16385_plus","Na",86780,34846436,6059,426716,27736540
432,430,/data/big_maps/*/*/*,"Inode_nonroot_tree","Nl_257_2048","Na",245,67675,0,0,0
435,431,/data/big_maps/*/*/*,"Inode_root_tree","Nl_257_2048","Na",20,7200,0,0,0
445,438,/data/rolls/*/*/*/*,"Inode_root_tree","Nl_16385_plus","Na",1,361,0,0,0
442,440,/data/delegates_with_frozen_balance/*/*,"Inode_root_tree","Nl_257_2048","Na",1,360,0,0,0
444,439,/data/contracts/*/*/*/*,"Inode_root_values","Nl_0_32","Na",294,24024,0,813,6123
444,439,/data/big_maps/*/*/*/*,"Inode_root_values","Nl_0_32","Na",136653,8062527,136653,136653,546612
444,431,/data/rolls/*/*,"Inode_root_values","Nl_0_32","Na",18,990,0,18,180
431,428,/data/liquidity_baking_cpmm_address,"Contents","Na","Cs_0_31",1,56,0,0,0
445,439,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_2049_16384","Na",365,110625,0,1800,81000
445,437,/data/delegates/*,"Inode_nonroot_values","Nl_2049_16384","Na",1,96,1,1,41
436,433,/data/contracts/*/*/*/*,"Contents","Na","Cs_32_127",553,56908,0,0,0
436,433,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_32_127",132269,13729026,0,0,0
443,432,/data/rolls/*/*/*/*,"Inode_nonroot_tree","Multiple","Na",227,75473,0,0,0
443,440,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_33_256","Na",88,23360,0,373,16785
445,437,/data/active_delegates_with_rolls/*,"Inode_nonroot_values","Nl_257_2048","Na",1,113,7,0,0
430,429,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_2049_16384","Na",636,226714,0,3764,169380
443,438,/data/big_maps/*/*/*,"Inode_nonroot_tree","Nl_2049_16384","Na",74,25590,0,0,0
439,428,/data/rolls/*/*,"Inode_root_values","Nl_0_32","Na",86143,4737865,0,86143,861430
438,428,/data/big_maps/*/*/*,"Inode_root_tree","Nl_33_256","Na",738,227650,0,0,0
436,429,/data/rolls/*/*/*,"Inode_root_values","Nl_0_32","Na",1,47,0,1,2
437,433,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_257_2048","Na",282,97165,0,1609,72405
435,430,/data/contracts/*/*/*/*,"Contents","Na","Cs_128_511",184,60468,0,0,0
435,430,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_128_511",4719,1187080,0,0,0
433,428,/data/cache,"Inode_root_values","Nl_0_32","Na",1,47,0,1,2
444,439,/data/delegates_with_frozen_balance/*/*,"Inode_root_tree","Nl_257_2048","Na",1,360,0,0,0
432,431,/data/domain,"Contents","Na","Cs_512_plus",1,29455,0,0,0
445,431,/data/big_maps/*/*/*,"Inode_nonroot_tree","Nl_16385_plus","Na",93,26048,0,0,0
436,432,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_33_256","Na",3539,684053,4431,6821,443365
437,434,/data/contracts/*/*,"Inode_root_values","Nl_0_32","Na",13596,1251352,951,43998,356392
436,431,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_2049_16384","Na",3731,1090386,11025,11126,723190
439,436,/data/rolls/*/*/*/*,"Inode_nonroot_tree","Nl_16385_plus","Na",710,238132,0,0,0
435,434,/data/liquidity_baking_escape_ema,"Contents","Na","Cs_0_31",1,38,0,0,0
435,434,/data/votes/*,"Inode_root_values","Nl_0_32","Na",2,157,1,1,65
431,428,/data/cycle/*/*,"Contents","Na","Cs_32_127",9,594,0,0,0
444,437,/data/big_maps/*,"Inode_nonroot_values","Nl_16385_plus","Na",656,47845,0,1628,9577
444,437,/data/rolls/*/*/*,"Inode_root_values","Nl_0_32","Na",1,48,0,1,3
445,439,/data/contracts/*/*,"Inode_root_values","Nl_0_32","Na",11686,1076094,906,37799,306144
440,430,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_16385_plus","Na",43636,15308142,2324,184782,12010830
437,436,/data/votes/*/*,"Inode_root_values","Nl_0_32","Na",1,58,2,0,0
437,434,/data/contracts/*/*/*,"Inode_root_values","Nl_0_32","Na",936,65408,0,1909,14526
445,437,/data/contracts/*/*/*,"Inode_root_tree","Nl_33_256","Na",2,719,0,0,0
443,428,/data/delegates/*,"Inode_nonroot_values","Nl_33_256","Na",24,1922,28,15,615
437,428,/data/big_maps/*/*/*,"Inode_root_tree","Nl_16385_plus","Na",9,3249,0,0,0
431,430,/data/rolls/*,"Inode_nonroot_tree","Nl_16385_plus","Na",587,197565,0,0,0
440,432,/data/cycle/*/*,"Contents","Na","Cs_32_127",1,66,0,0,0
432,428,/data/sapling/*/*,"Inode_root_values","Nl_0_32","Na",2,540,2,20,264
444,428,/data/big_maps/*/*/*,"Inode_root_tree","Nl_33_256","Na",652,201014,0,0,0
432,431,/data/rolls/*/*/*/*,"Inode_nonroot_tree","Multiple","Na",899,299772,0,0,0
438,434,/data/big_maps/*/*/*,"Inode_root_tree","Nl_257_2048","Na",17,6120,0,0,0
433,432,/data/rolls/*/*,"Inode_nonroot_tree","Nl_16385_plus","Na",982,329150,0,0,0
445,439,/data/big_maps/*/*/*,"Inode_nonroot_tree","Nl_16385_plus","Na",699,190656,0,0,0
439,428,/data/v1/*,"Contents","Na","Cs_32_127",1,70,0,0,0
434,433,/data/rolls/*,"Inode_root_tree","Nl_16385_plus","Na",1,361,0,0,0
444,438,/data/contracts/*/*/*,"Inode_root_tree","Nl_33_256","Na",2,639,0,0,0
443,441,/data/contracts/*/*/*,"Inode_root_tree","Nl_257_2048","Na",6,2160,0,0,0
432,428,/data/rolls/*,"Contents","Na","Cs_0_31",1,38,0,0,0
444,442,multiple,"Inode_nonroot_values","Multiple","Na",3876,327165,0,12597,74247
